Unnamed: 0,business_id,Shortlisted?,ProjectCategory,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,label,PARKING,BikeParking,HairSpecializesIn_coloring,CONSUMER_SERVICE,NoiseLevel,Alcohol,Ambience_romantic,HappyHour,RECOMMENDATION,DogsAllowed,SPECIAL_FOOD,AgesAllowed,Unnamed: 0.1,weekday,weekend,averghour,if_Chain,polarity
2831,HsrJucuS83bt4NTCWNxILw,Yes,Bar,"""Legends Bar & Grill""",,"""3655 W Anthem Way""",Phoenix,AZ,85086,33.865632500000004,-112.1385696,3.0,70,1,Bars;American (Traditional);Restaurants;Nightlife,0,0,1,0,0,0,0,0,0,0,0,0.0,0,3713,55.0,24.0,11.28571429,0,0.23538327982581805
2832,8-_jXGGDFPFAPB4r1x-81w,Yes,Bar,"""The Yard""",,"""5632 N 7th St""",Phoenix,AZ,85014,33.519553,-112.0651591,3.5,512,1,American (New);Food;Food Court;Bars;Event Planning & Services;Beer;Wine & Spirits;Nightlife;Venues & Event Spaces;Restaurants,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,850,62.0,27.0,12.71428571,1,0.3199065373659368
2833,bSbAq9ylam6RInhbm2aZKA,Yes,FastFood,"""Raising Cane's""",,"""4506 E Cactus Rd""",Phoenix,AZ,85032,33.6002263,-111.9864303,4.0,80,1,Restaurants;Chicken Wings;Fast Food;American (Traditional);Chicken Shop,-1,1,0,0,0,0,0,0,0,0,1,0.0,0,255,75.0,30.0,15.0,1,0.21031062301236747
2834,8oVyhkGvcFd_pXwvxOzOxQ,Yes,Pizza,"""Amelios Pizza & More""",,"""1726 W Bell Rd""",Phoenix,AZ,85023,33.6403155,-112.09661470000002,3.0,55,1,Restaurants;Pizza,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3547,61.0,23.0,12.0,0,0.14831359656686718
2835,C1aGdueHoFXKcy-yaLoUWw,Yes,Sandwiches,"""Pugzie's""",,"""4700 N 16th St""",Phoenix,AZ,85016,33.505884,-112.047907,3.5,32,0,Sandwiches;Restaurants,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2531,0.0,0.0,0.0,1,0.18623130402943536
2836,34VuBMNaG9nJiyqsnoEgPg,Yes,Bar,"""Nori Sushi""",,"""21001 N Tatum Blvd, Ste 48""",Phoenix,AZ,85050,33.67623116,-111.971345,4.0,335,1,Bars;Asian Fusion;Lounges;Nightlife;Restaurants;Sushi Bars,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1350,56.0,23.0,11.28571429,0,0.288961811632828
2837,mr5hwhIb_qfpTg9mbWHgsQ,Yes,Sandwiches,"""Subway""",,"""4811 N 16th St, Ste 105""",Phoenix,AZ,85016,33.5073239,-112.0468584,2.5,17,1,Fast Food;Restaurants;Sandwiches,-1,1,0,0,0,0,0,0,0,0,0,0.0,0,2354,80.0,29.0,15.57142857,1,0.2652669891009565
2838,gQg_z_bqR9Lp9oLuv659YA,Yes,Diner,"""40th Street Cafe""",,"""4022 E Greenway Rd, Ste 10""",Phoenix,AZ,85032,33.627346200000005,-111.995345,4.0,140,1,Diners;Restaurants;Cafes;American (Traditional),-1,0,0,0,0,0,0,0,0,0,0,0.0,0,113,45.0,19.0,9.142857142999999,1,0.2514230973824934
2839,hZgxNlArGoN0mWZvfCQWvA,Yes,Breakfast,"""Plaza Cafe & Grill""",,"""4041 N Central Ave, Bldg B""",Phoenix,AZ,85012,33.49347726,-112.0728984,5.0,9,1,Cafes;Caterers;Event Planning & Services;Breakfast & Brunch;Restaurants,-1,0,0,0,1,0,0,0,0,0,0,0.0,0,355,45.0,0.0,6.428571429,1,0.21352739920125285
2840,X92XkmKWt5TjNiD2m6tadg,Yes,Other,"""Jack-In-the Box Drive Thru""",,"""2440 W Thomas Rd""",Phoenix,AZ,85015,33.480920000000005,-112.112249,3.0,4,1,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4159,0.0,0.0,0.0,0,0.17869391517246622
2841,7DBu4i4sN9I8HWS3YaxArA,Yes,Coffee,"""Starbucks""",,"""3131 E Thunderbird Rd""",Phoenix,AZ,85032,33.610200799999994,-112.0149317,2.5,7,1,Coffee & Tea;Food,-1,0,0,0,0,0,1,0,0,0,0,0.0,0,98,75.0,30.0,15.0,1,0.16643135628759498
2842,UVw-ZOsmJ1cDQO9_AFUzWA,Yes,Pizza,"""Don's NY Pizza""",,"""9971 W Camelback Rd""",Phoenix,AZ,85037,33.50613,-112.273644,4.5,48,1,Salad;Sandwiches;Food;Pizza;Food Delivery Services;Restaurants,0,0,0,0,1,0,0,0,0,0,0,0.0,0,3477,58.5,22.5,11.57142857,0,0.1983181339433036
2843,He6g31ZW88yPsCE-Ikr7Og,Yes,Coffee,"""Jack In The Box""",,"""1075 N 67th Ave""",Phoenix,AZ,85043,33.46037903,-112.2029092,3.0,8,1,Coffee & Tea;American (Traditional);Fast Food;Restaurants;Food,0,0,0,0,0,0,0,0,0,0,1,0.0,0,7,0.0,0.0,0.0,0,0.2102875379610196
2844,E_wLJ3w5QTMN_Bz3O99ZYQ,Yes,Burger,"""Johnny Rockets""",,"""2510 W Happy Valley Rd, Ste 125""",Phoenix,AZ,85027,33.83135327,-112.12200159999998,2.5,17,0,American (Traditional);Restaurants;Fast Food;Burgers,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2897,0.0,0.0,0.0,1,0.2555842530014314
2845,WHrSxyaYLs1nI9lK9wwhzA,Yes,Pizza,"""Manhattan Pizzeria and Subshop""",,"""5224 N 7th St""",Phoenix,AZ,85014,33.513935499999995,-112.0652187,3.5,33,1,Restaurants;Kosher;Pizza,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,951,49.0,25.0,10.57142857,1,0.2518499114004142
2846,mzvOKS2QFKGIMFdLusbjQg,Yes,Pizza,"""Isa's Pizza""",,"""4001 E Bell Rd, Ste 112""",Phoenix,AZ,85032,33.63988532,-111.9956595,4.0,79,0,Restaurants;Sandwiches;Pizza,-1,1,0,0,1,0,0,0,0,0,0,0.0,0,305,45.0,18.0,9.0,1,0.2827673681543428
2847,FKyDrTFQSvbn4KGsRFZYYQ,Yes,FastFood,"""McDonalds""",,"""2410 E Monroe St""",Phoenix,AZ,85034,33.450595,-112.029671,2.0,6,1,Restaurants;Fast Food,-1,0,0,0,0,0,0,0,0,0,1,0.0,0,2679,0.0,0.0,0.0,1,0.16261308956445805
2848,_jGyZz4v9dedx_LIdJHulw,Yes,FastFood,"""KFC""",,"""2902 N 7th Ave""",Phoenix,AZ,85013,33.4805,-112.083,2.0,27,1,Restaurants;Chicken Wings;Fast Food,0,1,0,0,0,0,0,0,0,0,1,0.0,0,589,60.0,24.0,12.0,0,0.02499406679158856
2849,gHutuGMMMH-5Qv9DbemLFw,Yes,Breakfast,"""Scott's Generations Restaurant & Delicatessen""",,"""5539 N 7th St""",Phoenix,AZ,85020,33.538929700000004,-112.0638277,3.5,222,0,Delis;Restaurants;Breakfast & Brunch;Sandwiches,-1,1,0,0,0,0,0,0,0,3,0,0.0,0,1593,55.0,21.0,10.85714286,1,0.24260347490873266
2850,adTbcC7JgvzYg7AD_Ga-rg,Yes,Latin Food,"""Eliana's Restaurant""",,"""1627 N 24th St""",Phoenix,AZ,85008,33.466854600000005,-112.02989479999998,4.0,69,0,Latin American;Restaurants;Salvadoran,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2822,0.0,0.0,0.0,1,0.291970044521105
2851,XfUoM-27iPHkbewPXepmFQ,Yes,Mexican,"""El Pollo Loco""",,"""510 E Bell Rd""",Phoenix,AZ,85022,33.6406988,-112.0676418,3.5,48,1,Restaurants;Mexican;Fast Food,-1,0,0,0,0,0,0,0,0,0,1,0.0,0,3333,65.0,26.0,13.0,1,0.2850842566345305
2852,uHmOKM2jZXhah8BiRP5ebA,Yes,Sandwiches,"""Charley's Grilled Subs""",,"""4550 E Cactus Rd, Ste 114""",Phoenix,AZ,85032,33.6021872,-111.9836094,3.0,9,1,Sandwiches;Restaurants,-1,0,0,0,1,0,0,0,0,0,0,0.0,0,314,0.0,0.0,0.0,1,0.20177474307476695
2853,sLYqkdCk3EKLuG8aFe6uZg,Yes,Other,"""Fry's""",,"""18420 N 19th Ave""",Phoenix,AZ,85027,33.6539866,-112.1014989,3.5,10,1,Food,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,2938,0.0,0.0,0.0,1,0.19558707162985944
2854,rMCKv9puuu2NkYISHnwyWg,Yes,Mexican,"""Rubio's""",,"""4747 E Bell Rd, Ste 17""",Phoenix,AZ,85032,33.6399591,-111.9782662,3.5,76,1,Mexican;Salad;Seafood;Restaurants;Caterers;Event Planning & Services,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,204,53.0,20.0,10.42857143,1,0.28416709701373466
2855,FrLWavzAYOzUEp5RPMG9Sw,Yes,Other,"""QuikTrip""",,"""1610 E Highland Ave""",Phoenix,AZ,85016,33.506236,-112.046823,3.5,30,1,Food;Gas Stations;Convenience Stores;Automotive,-1,0,1,0,0,0,0,0,0,0,0,0.0,0,2375,0.0,0.0,0.0,1,0.1809049717838042
